id,name,class
AT_021e,Felrage,WARLOCK
AT_022,Fist of Jaraxxus,WARLOCK
AT_023,Void Crusher,WARLOCK
AT_024,Demonfuse,WARLOCK
AT_024e,Dark Fusion,NEUTRAL
AT_025,Dark Bargain,WARLOCK
AT_026,Wrathguard,WARLOCK
AT_027,Wilfred Fizzlebang,WARLOCK
AT_027e,Master Summoner,WARLOCK
AT_028,Shado-Pan Rider,ROGUE
AT_028e,Chi Lance,NEUTRAL
AT_029,Buccaneer,ROGUE
AT_029e,Extra Stabby,NEUTRAL
AT_030,Undercity Valiant,ROGUE
AT_031,Cutpurse,ROGUE
AT_032,Shady Dealer,ROGUE
AT_032e,Shady Deals,ROGUE
AT_032e_copy,Shady Deals Copy,ROGUE
AT_033,Burgle,ROGUE
AT_034,Poisoned Blade,ROGUE
AT_034e,Laced,ROGUE
AT_035,Beneath the Grounds,ROGUE
AT_035t,Nerubian Ambush!,ROGUE
AT_036,Anub'arak,ROGUE
AT_036t,Nerubian,ROGUE
AT_037,Living Roots,DRUID
AT_037a,Grasping Roots,DRUID
AT_037b,"One, Two, Trees!",DRUID
AT_037t,Sapling,DRUID
AT_038,Darnassus Aspirant,DRUID
AT_039,Savage Combatant,DRUID
AT_039e,Savage,DRUID
AT_040,Wildwalker,DRUID
AT_040e,Kindred Spirit,DRUID
AT_041,Knight of the Wild,DRUID
AT_041e,Call of the Wild,NEUTRAL
AT_042,Druid of the Saber,DRUID
AT_042a,Lion Form,DRUID
AT_042b,Panther Form,DRUID
AT_042t,Druid of the Saber,DRUID
AT_042t2,Druid of the Saber,DRUID
AT_043,Astral Communion,DRUID
AT_044,Mulch,DRUID
AT_045,Aviana,DRUID
AT_045e,Empowering Mist,NEUTRAL
AT_045ee,Mistcaller Deck Ench,NEUTRAL
AT_045eee,Aviana's Blessing,NEUTRAL
AT_046,Tuskarr Totemic,SHAMAN
AT_047,Draenei Totemcarver,SHAMAN
AT_047e,Experienced,SHAMAN
AT_048,Healing Wave,SHAMAN
AT_049,Thunder Bluff Valiant,SHAMAN
AT_049e,Power of the Bluff,SHAMAN
AT_050,Charged Hammer,SHAMAN
AT_050t,Lightning Jolt,SHAMAN
AT_051,Elemental Destruction,SHAMAN
AT_052,Totem Golem,SHAMAN
AT_053,Ancestral Knowledge,SHAMAN
AT_054,The Mistcaller,SHAMAN
AT_055,Flash Heal,PRIEST
AT_056,Powershot,HUNTER
AT_057,Stablemaster,HUNTER
AT_057o,Groomed,HUNTER
AT_058,King's Elekk,HUNTER
AT_059,Brave Archer,HUNTER
AT_060,Bear Trap,HUNTER
AT_061,Lock and Load,HUNTER
AT_061e,Lock and Load,HUNTER
AT_062,Ball of Spiders,HUNTER
AT_063,Acidmaw,HUNTER
AT_063t,Dreadscale,HUNTER
AT_064,Bash,WARRIOR
AT_065,King's Defender,WARRIOR
AT_065e,King's Defender,NEUTRAL
AT_066,Orgrimmar Aspirant,WARRIOR
AT_066e,Forges of Orgrimmar,WARRIOR
AT_067,Magnataur Alpha,WARRIOR
AT_068,Bolster,WARRIOR
AT_068e,Bolstered,WARRIOR
AT_069,Sparring Partner,WARRIOR
AT_069e,Training Complete,WARRIOR
AT_070,Skycap'n Kragg,NEUTRAL
AT_071,Alexstrasza's Champion,WARRIOR
AT_071e,Alexstrasza's Boon,WARRIOR
AT_072,Varian Wrynn,WARRIOR
AT_073,Competitive Spirit,PALADIN
AT_073e,Competitive Spirit,NEUTRAL
AT_074,Seal of Champions,PALADIN
AT_074e2,Seal of Champions,PALADIN
AT_075,Warhorse Trainer,PALADIN
AT_075e,Might of the Hostler,PALADIN
AT_076,Murloc Knight,PALADIN
AT_077,Argent Lance,PALADIN
AT_077e,Extra Poke,NEUTRAL
AT_078,Enter the Coliseum,PALADIN
AT_079,Mysterious Challenger,PALADIN
AT_080,Garrison Commander,NEUTRAL
AT_081,Eadric the Pure,PALADIN
AT_081e,Purified,PALADIN
AT_082,Lowly Squire,NEUTRAL
AT_082e,Training,NEUTRAL
AT_083,Dragonhawk Rider,NEUTRAL
AT_083e,Dragonhawkery,NEUTRAL
AT_084,Lance Carrier,NEUTRAL
AT_084e,Equipped,NEUTRAL
AT_085,Maiden of the Lake,NEUTRAL
AT_085e,Maiden's Blessing,NEUTRAL
AT_086,Saboteur,NEUTRAL
AT_086e,Villainy,NEUTRAL
AT_087,Argent Horserider,NEUTRAL
AT_088,Mogor's Champion,NEUTRAL
AT_089,Boneguard Lieutenant,NEUTRAL
AT_089e,Boneguarded,NEUTRAL
AT_090,Mukla's Champion,NEUTRAL
AT_090e,Might of the Monkey,NEUTRAL
AT_091,Tournament Medic,NEUTRAL
AT_092,Ice Rager,NEUTRAL
AT_093,Frigid Snobold,NEUTRAL
AT_094,Flame Juggler,NEUTRAL
AT_095,Silent Knight,NEUTRAL
AT_096,Clockwork Knight,NEUTRAL
AT_096e,Wound Up,NEUTRAL
AT_097,Tournament Attendee,NEUTRAL
AT_098,Sideshow Spelleater,NEUTRAL
AT_099,Kodorider,NEUTRAL
AT_099t,War Kodo,NEUTRAL
AT_100,Silver Hand Regent,NEUTRAL
AT_101,Pit Fighter,NEUTRAL
AT_102,Captured Jormungar,NEUTRAL
AT_103,North Sea Kraken,NEUTRAL
AT_104,Tuskarr Jouster,PALADIN
AT_105,Injured Kvaldir,NEUTRAL
AT_106,Light's Champion,NEUTRAL
AT_108,Armored Warhorse,NEUTRAL
AT_109,Argent Watchman,NEUTRAL
AT_109e,Inspired,NEUTRAL
AT_110,Coliseum Manager,NEUTRAL
AT_111,Refreshment Vendor,NEUTRAL
AT_112,Master Jouster,NEUTRAL
AT_113,Recruiter,NEUTRAL
AT_114,Evil Heckler,NEUTRAL
AT_115,Fencing Coach,NEUTRAL
AT_115e,Fencing Practice,NEUTRAL
AT_116,Wyrmrest Agent,PRIEST
AT_116e,Bring it on!,PRIEST
AT_117,Master of Ceremonies,NEUTRAL
AT_117e,Ceremony,NEUTRAL
AT_118,Grand Crusader,NEUTRAL
AT_119,Kvaldir Raider,NEUTRAL
AT_119e,Inspired,NEUTRAL
AT_120,Frost Giant,NEUTRAL
AT_121,Crowd Favorite,NEUTRAL
AT_121e,Huge Ego,NEUTRAL
AT_122,Gormok the Impaler,NEUTRAL
AT_123,Chillmaw,NEUTRAL
AT_124,Bolf Ramshield,NEUTRAL
AT_125,Icehowl,NEUTRAL
AT_127,Nexus-Champion Saraad,NEUTRAL
AT_128,The Skeleton Knight,NEUTRAL
AT_129,Fjola Lightbane,NEUTRAL
AT_130,Sea Reaver,WARRIOR
AT_131,Eydis Darkbane,NEUTRAL
AT_132,Justicar Trueheart,NEUTRAL
AT_132_DRUID,Dire Shapeshift,DRUID
AT_132_DRUIDa,Dire Shapeshift,DRUID
AT_132_DRUIDb,Dire Shapeshift,DRUID
AT_132_DRUIDc,Dire Shapeshift,DRUID
AT_132_DRUIDe,Dire Claws,DRUID
AT_132_HUNTER,Ballista Shot,HUNTER
AT_132_HUNTER_H1,Ballista Shot,HUNTER
AT_132_MAGE,Fireblast Rank 2,MAGE
AT_132_PALADIN,The Silver Hand,PALADIN
AT_132_PRIEST,Heal,PRIEST
AT_132_ROGUE,Poisoned Daggers,ROGUE
AT_132_ROGUE_H1,Poisoned Daggers,ROGUE
AT_132_ROGUEt,Poisoned Dagger,ROGUE
AT_132_ROGUEt_H1,Poisoned Dagger,ROGUE
AT_132_SHAMAN,Totemic Slam,SHAMAN
AT_132_SHAMANa,Healing Totem,SHAMAN
AT_132_SHAMANb,Searing Totem,SHAMAN
AT_132_SHAMANc,Stoneclaw Totem,SHAMAN
AT_132_SHAMANd,Wrath of Air Totem,SHAMAN
AT_132_WARLOCK,Soul Tap,WARLOCK
AT_132_WARLOCKa,Soul Tap,WARLOCK
AT_132_WARLOCKb,Soul Tap,WARLOCK
AT_132_WARRIOR,Tank Up!,WARRIOR
AT_133,Gadgetzan Jouster,NEUTRAL
AT_133e,Victory!,NEUTRAL
BCON_001,Deadeye,HUNTER
BCON_001e,Deadeye,NEUTRAL
BCON_004,Polymorph: ???,MAGE
BCON_008,Nature's Champion,DRUID
BCON_008e,Nature's Champion,NEUTRAL
BCON_012,Hand of Salvation,PALADIN
BCON_015,Generous Spirit,PRIEST
BCON_016,Smoke Bomb,ROGUE
BCON_016e,Smoke Bombed,ROGUE
BCON_021,Crackling Doom,SHAMAN
BCON_024,Bottled Madness,WARLOCK
BCON_026,Blazing Longsword,WARRIOR
BGS_001,Nathrezim Overseer,NEUTRAL
BGS_001e,Impish,NEUTRAL
BGS_002,Soul Juggler,WARLOCK
BGS_004,Wrath Weaver,NEUTRAL
BGS_004e,Wrath Woven,NEUTRAL
BGS_006,Sneed's Old Shredder,NEUTRAL
BGS_008,Ghastcoiler,PRIEST
BGS_009,Lightfang Enforcer,NEUTRAL
BGS_009e,Blessed,ROGUE
BGS_010,Annihilan Battlemaster,NEUTRAL
BGS_010e,Monstrous,NEUTRAL
BGS_012,Kangor's Apprentice,NEUTRAL
BGS_014,Imprisoner,NEUTRAL
BGS_017,Pack Leader,NEUTRAL
BGS_017e,Feral Calling,NEUTRAL
BGS_018,"Goldrinn, the Great Wolf",NEUTRAL
BGS_018e,Soul of the Beast,NEUTRAL
BGS_019,Red Whelp,NEUTRAL
BGS_020,Primalfin Lookout,NEUTRAL
BGS_021,Mama Bear,NEUTRAL
BGS_021e,Rampage,NEUTRAL
BGS_022,Zapp Slywick,NEUTRAL
BGS_023,Piloted Shredder,NEUTRAL
BGS_024,Piloted Sky Golem,NEUTRAL
BGS_025,Mounted Raptor,DRUID
BGS_027,Micro Machine,NEUTRAL
BGS_028,Pogo-Hopper,ROGUE
BGS_028pe,PogoCounterEnchantment,ROGUE
BGS_029,Shifter Zerus,NEUTRAL
BGS_029e,Shifting,NEUTRAL
BGS_030,King Bagurgle,NEUTRAL
BGS_030e,Bagurgled,NEUTRAL
BGS_031,Gentle Megasaur,NEUTRAL
BGS_032,Herald of Flame,WARRIOR
BGS_033,Hangry Dragon,NEUTRAL
BGS_033e1,Well Fed,NEUTRAL
BGS_034,Bronze Warden,NEUTRAL
BGS_035,Waxrider Togwaggle,NEUTRAL
BGS_035e,Dragon Wax,NEUTRAL
BGS_036,"Razorgore, the Untamed",NEUTRAL
BGS_036e,Dragonlust,NEUTRAL
BGS_037,Steward of Time,NEUTRAL
BGS_037e,Time Dilation,NEUTRAL
BGS_038,Twilight Emissary,NEUTRAL
BGS_038e,Twilight Embrace,NEUTRAL
BGS_039,Dragonspawn Lieutenant,NEUTRAL
BGS_040,Nadina the Red,NEUTRAL
BGS_041,"Kalecgos, Arcane Aspect",NEUTRAL
BGS_041e,Arcane Aspect,NEUTRAL
BGS_043,Murozond,NEUTRAL
BGS_044,Imp Mama,WARLOCK
BGS_044e,Protect Mama!,WARLOCK
BGS_045,Glyph Guardian,MAGE
BGS_045e,Cold Breath,NEUTRAL
BGS_059,Master Demonologist,NEUTRAL
BGS_059e,Demonic Fury,NEUTRAL
BGS_067,Drakonid Enforcer,NEUTRAL
BGS_067e,Divinity,NEUTRAL
BGS_068,Holy Mackerel,PALADIN
BOT_020,Skaterbot,NEUTRAL
BOT_020e,Skaterbot,NEUTRAL
BOT_021,Bronze Gatekeeper,NEUTRAL
BOT_021e,Bronze Gatekeeper,NEUTRAL
BOT_031,Goblin Bomb,NEUTRAL
BOT_033,Bomb Toss,HUNTER
BOT_034,Boommaster Flark,HUNTER
BOT_035,Venomizer,HUNTER
BOT_035e,Venomizer,NEUTRAL
BOT_038,Fireworks Tech,HUNTER
BOT_038e,Primed,HUNTER
BOT_039,Necromechanic,HUNTER
BOT_039e,Necromechanical,NEUTRAL
BOT_042,Weapons Project,WARRIOR
BOT_042t,Gearblade,WARRIOR
BOT_050,Rusty Recycler,NEUTRAL
BOT_054,Biology Project,DRUID
BOT_059,Eternium Rover,WARRIOR
BOT_066,Mechanical Whelp,NEUTRAL
BOT_066t,Mechanical Dragon,NEUTRAL
BOT_067,Rocket Boots,WARRIOR
BOT_067e,Rocket Boots,WARRIOR
BOT_069,The Boomship,WARRIOR
BOT_069e,Rocketeer,WARRIOR
BOT_079,Faithful Lumi,NEUTRAL
BOT_079e,Illuminated,NEUTRAL
BOT_083,Toxicologist,NEUTRAL
BOT_083e,Toxic,NEUTRAL
BOT_084,Violet Haze,ROGUE
BOT_087,Academic Espionage,ROGUE
BOT_087e,Academic Espionage,ROGUE
BOT_093,Elementary Reaction,SHAMAN
BOT_098,Unpowered Mauler,NEUTRAL
BOT_099,Eureka!,SHAMAN
BOT_101,Astral Rift,MAGE
BOT_101e2,Warcried,NEUTRAL
BOT_102,Spark Drill,NEUTRAL
BOT_102t,Spark,NEUTRAL
BOT_103,Stargazer Luna,MAGE
BOT_104,Dyn-o-matic,WARRIOR
BOT_107,Missile Launcher,NEUTRAL
BOT_107e,Missile Launcher,NEUTRAL
BOT_216,Omega Medic,PRIEST
BOT_218,Security Rover,WARRIOR
BOT_218t,Guard Bot,WARRIOR
BOT_219,Extra Arms,PRIEST
BOT_219e,Armed,PRIEST
BOT_219t,More Arms!,PRIEST
BOT_219te,More Armed,PRIEST
BOT_222,Spirit Bomb,WARLOCK
BOT_224,Doubling Imp,WARLOCK
BOT_226,Nethersoul Buster,WARLOCK
BOT_226e,Nethercharged,WARLOCK
BOT_234,Shrink Ray,PALADIN
BOT_234e,Shrink Ray,NEUTRAL
BOT_236,Crystalsmith Kangor,PALADIN
BOT_237,Beryllium Nullifier,WARRIOR
BOT_237e,Beryllium Nullifier,NEUTRAL
BOT_238,"Dr. Boom, Mad Genius",WARRIOR
BOT_238e,Boomtastic,NEUTRAL
BOT_238e2,Boomtastic,NEUTRAL
BOT_238p,Big Red Button,WARRIOR
BOT_238p1,Zap Cannon,WARRIOR
BOT_238p2,Blast Shield,WARRIOR
BOT_238p3,KABOOM!,WARRIOR
BOT_238p4,Delivery Drone,WARRIOR
BOT_238p6,Micro-Squad,WARRIOR
BOT_242,Myra's Unstable Element,ROGUE
BOT_243,Myra Rotspring,ROGUE
BOT_243e,Necroalchemy,ROGUE
BOT_245,The Storm Bringer,SHAMAN
BOT_246,Beakered Lightning,SHAMAN
BOT_251,Spider Bomb,HUNTER
BOT_251e,Spider Bomb,HUNTER
BOT_254,Unexpected Results,MAGE
BOT_256,Astromancer,MAGE
BOT_257,Luna's Pocket Galaxy,MAGE
BOT_257e,Starstruck,MAGE
BOT_258,"Zerek, Master Cloner",PRIEST
BOT_258e,Cloning Vector,PRIEST
BOT_263,Soul Infusion,WARLOCK
BOT_263e,Infused,WARLOCK
BOT_267,Piloted Reaper,NEUTRAL
BOT_270,Giggling Inventor,NEUTRAL
BOT_270t,Annoy-o-Tron,NEUTRAL
BOT_280,Holomancer,NEUTRAL
BOT_280e,Hologram,NEUTRAL
BOT_283,Pogo-Hopper,ROGUE
BOT_283e,Kinetic Energy,ROGUE
BOT_286,Necrium Blade,ROGUE
BOT_288,Lab Recruiter,ROGUE
BOT_291,Storm Chaser,SHAMAN
BOT_296,Omega Defender,NEUTRAL
BOT_296e,Omega Surge,NEUTRAL
BOT_299,Omega Assembly,WARRIOR
BOT_308,Spring Rocket,NEUTRAL
BOT_309,Upgradeable Framebot,NEUTRAL
BOT_312,Replicating Menace,NEUTRAL
BOT_312e,Replicating Menace,NEUTRAL
BOT_312t,Microbot,NEUTRAL
BOT_401,Weaponized Piñata,NEUTRAL
BOT_402,Secret Plan,HUNTER
BOT_404,Juicy Psychmelon,DRUID
BOT_406,Supercollider,WARRIOR
BOT_407,Thunderhead,SHAMAN
BOT_411,Electra Stormsurge,SHAMAN
BOT_411e,Electric,SHAMAN
BOT_411e2,Electricking,SHAMAN
BOT_413,Brainstormer,NEUTRAL
BOT_413e,Brain Power,NEUTRAL
BOT_414,Cloakscale Chemist,NEUTRAL
BOT_419,Dendrologist,DRUID
BOT_420,Landscaping,DRUID
BOT_422,Tending Tauren,DRUID
BOT_422a,Old Growth,DRUID
BOT_422ae,Old Growth,NEUTRAL
BOT_422b,New Growth,DRUID
BOT_423,Dreampetal Florist,DRUID
BOT_423e,Floral Arrangement,DRUID
BOT_424,Mecha'thun,NEUTRAL
BOT_429,Flark's Boom-Zooka,HUNTER
BOT_431,Whirliglider,NEUTRAL
BOT_433,Dr. Morrigan,WARLOCK
BOT_434,Flobbidinous Floop,DRUID
BOT_434e,Floopy,DRUID
BOT_434e2,Floopy,DRUID
BOT_435,Cloning Device,PRIEST
BOT_436,Prismatic Lens,PALADIN
BOT_436e,Swapped Cost,PALADIN
BOT_437,Goblin Prank,HUNTER
BOT_437e,Slimed,NEUTRAL
BOT_438,Cybertech Chip,HUNTER
BOT_438e,Chipped,HUNTER
BOT_443,Void Analyst,WARLOCK
BOT_443e,Well-Studied,WARLOCK
BOT_444,Floop's Glorious Gloop,DRUID
BOT_444e,Gloopy,DRUID
BOT_445,Mecharoo,NEUTRAL
BOT_445t,Jo-E Bot,NEUTRAL
BOT_447,Crystallizer,NEUTRAL
BOT_448,Damaged Stegotron,NEUTRAL
BOT_451,Voltaic Burst,SHAMAN
BOT_453,Shooting Star,MAGE
BOT_507,Gloop Sprayer,DRUID
BOT_508,Necrium Vial,ROGUE
BOT_509,Dead Ringer,PRIEST
BOT_511,Seaforium Bomber,NEUTRAL
BOT_511t,Bomb,NEUTRAL
BOT_517,Topsy Turvy,PRIEST
BOT_517e,Downside Up,NEUTRAL
BOT_521,Ectomancy,WARLOCK
BOT_523,Mulchmuncher,DRUID
BOT_529,Power Word: Replicate,PRIEST
BOT_529e,Replicated,PRIEST
BOT_531,Celestial Emissary,MAGE
BOT_531e,Celestial Power,MAGE
BOT_531e2,Celestial Power,MAGE
BOT_532,Explodinator,NEUTRAL
BOT_533,Menacing Nimbus,SHAMAN
BOT_534,Bull Dozer,NEUTRAL
BOT_535,Microtech Controller,NEUTRAL
BOT_536,Omega Agent,WARLOCK
BOT_537,Mechano-Egg,PALADIN
BOT_537t,Robosaur,PALADIN
BOT_538,Spark Engine,NEUTRAL
BOT_539,Arcane Dynamo,NEUTRAL
BOT_540,E.M.P. Operative,NEUTRAL
BOT_543,Omega Mind,SHAMAN
BOT_543e,Mind Meld,NEUTRAL
BOT_544,Loose Specimen,NEUTRAL
BOT_548,Zilliax,NEUTRAL
BOT_548e,Zilliax,NEUTRAL
BOT_550,Electrowright,NEUTRAL
BOT_550e,Electrified,NEUTRAL
BOT_552,Star Aligner,NEUTRAL
BOT_555,Harbinger Celestia,NEUTRAL
BOT_558,Test Subject,PRIEST
BOT_558e,Stored Data,PRIEST
BOT_559,Augmented Elekk,NEUTRAL
BOT_559e,Dealing,NEUTRAL
BOT_562,Coppertail Imposter,NEUTRAL
BOT_562e,Disguised,NEUTRAL
BOT_563,Wargear,NEUTRAL
BOT_563e,Wargear,NEUTRAL
BOT_565,Blightnozzle Crawler,ROGUE
BOT_565t,Radioactive Ooze,ROGUE
BOT_566,Reckless Experimenter,PRIEST
BOT_566e,Reckless Experiment,PRIEST
BOT_566e2,Reckless Experiment,PRIEST
BOT_567,Zerek's Cloning Gallery,PRIEST
BOT_567e,Cloned,PRIEST
BOT_568,The Soularium,WARLOCK
BOT_568e,Fleeting Soul,WARLOCK
BOT_573,Subject 9,NEUTRAL
BOT_576,Crazed Chemist,ROGUE
BOT_576e,Overcharged,ROGUE
BOT_600,Research Project,MAGE
BOT_601,Meteorologist,MAGE
BOT_603,Steel Rager,NEUTRAL
BOT_604,Cosmic Anomaly,MAGE
BOT_606,Kaboom Bot,NEUTRAL
BOT_700,SN1P-SN4P,NEUTRAL
BOT_700e,SN1P-SN4P,NEUTRAL
BOT_906,Glow-Tron,PALADIN
BOT_906e,Glow-Tron,NEUTRAL
BOT_907,Galvanizer,NEUTRAL
BOT_907e,Galvanized,NEUTRAL
BOT_908,Autodefense Matrix,PALADIN
BOT_909,Crystology,PALADIN
BOT_910,Glowstone Technician,PALADIN
BOT_910e,Light Infused,PALADIN
BOT_911,Annoy-o-Module,PALADIN
BOT_911e,Annoy-o-Module,PALADIN
BOT_912,Kangor's Endless Army,PALADIN
BOT_913,Demonic Project,WARLOCK
BOT_914,Whizbang the Wonderful,NEUTRAL
BOT_914h,Whizbang the Wonderful,WHIZBANG
BOTA_101,Spud M.E.,NEUTRAL
BOTA_102,Battery Pack,NEUTRAL
BOTA_200,Undercover Reporter,NEUTRAL
BOTA_202,Uplink,NEUTRAL
BOTA_203,Breakout,NEUTRAL
BOTA_203e,FREEDOM!,NEUTRAL
BOTA_207,The Swap,NEUTRAL
BOTA_208,Demonic Research,NEUTRAL
BOTA_208e,Demonic Research Player Enchant,NEUTRAL
BOTA_210,Galvanized Golem,NEUTRAL
BOTA_211,Super Soldier,NEUTRAL
BOTA_212,Cure-All,NEUTRAL
BOTA_214,Turret Sentinel,NEUTRAL
BOTA_223,Gelbin's Coil,NEUTRAL
BOTA_229,Boom-in-a-Box,NEUTRAL
BOTA_231,Incubator,NEUTRAL
BOTA_231e,Incubating,NEUTRAL
BOTA_232,Cosmic Projection,NEUTRAL
BOTA_234,The Stars Align,NEUTRAL
BOTA_235,Unbeakered Lightning,NEUTRAL
BOTA_240,Back-up Plan,NEUTRAL
BOTA_241,Contamination,DRUID
BOTA_241e,Contaminated,DRUID
BOTA_242,Steel Rattler,NEUTRAL
BOTA_242e,Steel Rattler,NEUTRAL
BOTA_244,Ray of Roasting,NEUTRAL
BOTA_301,Cold Blooded,NEUTRAL
BOTA_302,Frostbite,NEUTRAL
BOTA_303,Battle Boar,NEUTRAL
BOTA_304,Stand By Me,NEUTRAL
BOTA_305,Frothing Fighters,NEUTRAL
BOTA_306,Leeroy Returns,NEUTRAL
BOTA_307,Cosmic Fire,NEUTRAL
BOTA_309,Quick and Quiet,NEUTRAL
BOTA_310,Dinosaur Domination,NEUTRAL
BOTA_311,Hot Potato,NEUTRAL
BOTA_312,A Dim Flame,NEUTRAL
BOTA_313,Lethal Lepers,NEUTRAL
BOTA_314,Full Draw,NEUTRAL
BOTA_315,Plan B,NEUTRAL
BOTA_316,The Wall,NEUTRAL
BOTA_317,Four Horsemen,NEUTRAL
BOTA_318,Light and Fire,NEUTRAL
BOTA_319,Hostile Hoppers,NEUTRAL
BOTA_320,A Corrupted Spirit,NEUTRAL
BOTA_321,The Best Offense,NEUTRAL
BOTA_322,Healing Hammers,NEUTRAL
BOTA_323,Toasted Hydra,NEUTRAL
BOTA_324,C'Thun! C'Thun! C'THUN!,NEUTRAL
BOTA_327,Tossing Taters,NEUTRAL
BOTA_328,Pride's Fall,NEUTRAL
BOTA_329,Keepers of the Gate,NEUTRAL
BOTA_330,A Shaman's Strength,NEUTRAL
BOTA_331,Selective Stampede,NEUTRAL
BOTA_332,Spell Addiction,NEUTRAL
BOTA_333,Of Pirates and Patrons,NEUTRAL
BOTA_334,Erratic Explosive,NEUTRAL
BOTA_336,Never Go Full Northshire,NEUTRAL
BOTA_337,Full Northshire,NEUTRAL
BOTA_420,Quick Attack,NEUTRAL
BOTA_421,Holy Extermination,NEUTRAL
BOTA_422,Stomp the Snail,NEUTRAL
BOTA_423,Sticky Scarecrows,NEUTRAL
BOTA_424,The Power of Pigs,NEUTRAL
BOTA_425,Position Perfection,NEUTRAL
BOTA_426,Scorched Earth,NEUTRAL
BOTA_427,Dragon Removal Service,NEUTRAL
BOTA_429,Fighter's Finale,NEUTRAL
BOTA_430,No More N'Zoth,NEUTRAL
BOTA_431,Contamination!,NEUTRAL
BOTA_432,A Stolen Shadow,NEUTRAL
BOTA_433,Hurricane of Horrors,NEUTRAL
BOTA_434,Curious Crustacean,NEUTRAL
BOTA_435,Shocking Spells,NEUTRAL
BOTA_437,Tiny Terrors,NEUTRAL
BOTA_438,Defiling Demons,NEUTRAL
BOTA_439,A Warrior's Weapons,NEUTRAL
BOTA_440,Poultry Provoked,NEUTRAL
BOTA_441,Bot Battle,NEUTRAL
BOTA_444,Airborne Assault,NEUTRAL
BOTA_445,Dog Days,NEUTRAL
BOTA_446,Grumble's Rumble,NEUTRAL
BOTA_447,Toxic Treants,NEUTRAL
BOTA_448,A Dance with Death,NEUTRAL
BOTA_450,A Storm of Souls,NEUTRAL
BOTA_451,Plugging Away,NEUTRAL
BOTA_452,Warlock's Apprentice,NEUTRAL
BOTA_453,The Test,NEUTRAL
BOTA_500,First Steps,NEUTRAL
BOTA_501,Smoldering Shield,NEUTRAL
BOTA_502,In a Flash,NEUTRAL
BOTA_503,Adorable Sacrifice,NEUTRAL
BOTA_504,Pursuit of Knowledge,NEUTRAL
BOTA_505,Brazed Pork,NEUTRAL
BOTA_506,Shields Up!,NEUTRAL
