,id,id_hash,name,class,type,description
57,AT_015,5663579373075264694,Convert,PRIEST,5,Put a copy of an enemy minion into your hand.
58,AT_016,130827554756935176,Confuse,PRIEST,5,Swap the Attack and Health of all minions.
59,AT_016e,9065054688609764621,Confused,PRIEST,6,Swapped Attack and Health.
60,AT_017,-1806635755361614916,Twilight Guardian,NEUTRAL,4,"<b>Battlecry:</b> If you're holding a Dragon, gain +1 Attack and <b>Taunt</b>."
61,AT_017e,4136301210715929303,Twilight's Embrace,NEUTRAL,6,+1 Attack and <b>Taunt</b>.
62,AT_018,1470933447773825689,Confessor Paletress,PRIEST,4,<b>Inspire:</b> Summon a random <b>Legendary</b> minion.
63,AT_019,-3068547276969288355,Dreadsteed,WARLOCK,4,"<b>Deathrattle:</b> At the end
 of the turn, summon a Dreadsteed."
64,AT_019e,6131324613351779238,Dreadsteed,NEUTRAL,6,Summon a Dreadsteed at the end of the turn.
65,AT_020,8845129474597082511,Fearsome Doomguard,WARLOCK,4,
66,AT_021,8149513542336213802,Tiny Knight of Evil,WARLOCK,4,"Whenever you discard a card, gain +1/+1."
67,AT_021e,8501534591944681203,Felrage,WARLOCK,6,Increased stats.
68,AT_022,5620975275418261240,Fist of Jaraxxus,WARLOCK,5,"When you play or discard this, deal $4 damage to a random enemy."
69,AT_023,-2105484123392489362,Void Crusher,WARLOCK,4,<b>Inspire:</b> Destroy a random minion for each player.
70,AT_024,2896154533582276598,Demonfuse,WARLOCK,5,Give a Demon +3/+3. Give your opponent a Mana Crystal.
71,AT_024e,-8059303374406525670,Dark Fusion,NEUTRAL,6,+3/+3.
72,AT_025,-6560835012202622756,Dark Bargain,WARLOCK,5,Destroy 2 random enemy minions. Discard 2 random cards.
73,AT_026,7583803829282450737,Wrathguard,WARLOCK,4,"Whenever this minion takes damage, also deal that amount to your hero."
74,AT_027,4370783296467260374,Wilfred Fizzlebang,WARLOCK,4,Cards you draw from your Hero Power cost (0).
75,AT_027e,-4988584011089066357,Master Summoner,WARLOCK,6,Costs (0).
76,AT_028,2951382460674500095,Shado-Pan Rider,ROGUE,4,<b>Combo:</b> Gain +3 Attack.
77,AT_028e,-653397951304888995,Chi Lance,NEUTRAL,6,+3 Attack.
78,AT_029,7185250407440361429,Buccaneer,ROGUE,4,"Whenever you equip a weapon, give it +1 Attack."
79,AT_029e,4031188752823396120,Extra Stabby,NEUTRAL,6,+1 Attack
80,AT_030,-3342948083485137333,Undercity Valiant,ROGUE,4,<b>Combo:</b> Deal 1 damage.
81,AT_031,-3360262921505323420,Cutpurse,ROGUE,4,"Whenever this minion attacks a hero, add the Coin to your hand."
82,AT_032,-2414430497422782683,Shady Dealer,ROGUE,4,"<b>Battlecry:</b> If you have a Pirate, gain +1/+1."
83,AT_032e,3292830270316492232,Shady Deals,ROGUE,6,+1/+1.
84,AT_032e_copy,5583805119528329518,Shady Deals Copy,ROGUE,6,+1/+1.
85,AT_033,1571300329511489292,Burgle,ROGUE,5,Add 2 random cards to your hand <i>(from your opponent's class)</i>.
86,AT_034,-3171724730414619498,Poisoned Blade,ROGUE,7,Your Hero Power gives this weapon +1 Attack instead of replacing it.
87,AT_034e,3962851126468701939,Laced,ROGUE,6,Increased Attack.
88,AT_035,-5199316566570967307,Beneath the Grounds,ROGUE,5,"Shuffle 3 Ambushes into your opponent's deck. When drawn, you summon a 4/4 Nerubian."
89,AT_035t,5636671769082959816,Nerubian Ambush!,ROGUE,5,"<b>Casts When Drawn</b>
Summon a 4/4 Nerubian for your opponent."
90,AT_036,811532160067155264,Anub'arak,ROGUE,4,<b>Deathrattle:</b> Return this to your hand and summon a 4/4 Nerubian.
91,AT_036t,-4164863950599534339,Nerubian,ROGUE,4,
92,AT_037,8190911842283649528,Living Roots,DRUID,5,<b>Choose One -</b> Deal $2 damage; or Summon two 1/1 Saplings.
93,AT_037a,-7206224153752453994,Grasping Roots,DRUID,5,Deal $2 damage.
94,AT_037b,5447224285093104963,"One, Two, Trees!",DRUID,5,Summon two 1/1 Saplings.
95,AT_037t,978368656084851652,Sapling,DRUID,4,
96,AT_038,-4079975142306563252,Darnassus Aspirant,DRUID,4,"<b>Battlecry:</b> Gain an empty Mana Crystal.
<b>Deathrattle:</b> Lose a Mana Crystal."
97,AT_039,-8341541619892137447,Savage Combatant,DRUID,4,"<b>Inspire:</b> Give your hero
+2 Attack this turn."
98,AT_039e,-5498804643335789546,Savage,DRUID,6,+2 Attack this turn.
99,AT_040,6921699562461489239,Wildwalker,DRUID,4,<b>Battlecry:</b> Give a friendly Beast +3 Health.
100,AT_040e,2807242735835876617,Kindred Spirit,DRUID,6,+3 Health.
101,AT_041,-161701447563773648,Knight of the Wild,DRUID,4,"Whenever you summon a Beast, reduce the Cost of this card by (1)."
102,AT_041e,430668452813431963,Call of the Wild,NEUTRAL,6,Cost reduced.
103,AT_042,839637199552700918,Druid of the Saber,DRUID,4,"[x]<b>Choose One -</b> Transform
into a 2/1 with <b>Charge</b>;
or a 3/2 with <b>Stealth</b>."
104,AT_042a,-6036982698212578971,Lion Form,DRUID,4,<b>Charge</b>
105,AT_042b,126925449509152781,Panther Form,DRUID,4,<b>Stealth</b>
106,AT_042t,-7402454713090770955,Druid of the Saber,DRUID,4,<b>Charge</b>
107,AT_042t2,-3268775680725306795,Druid of the Saber,DRUID,4,<b>Stealth</b>
108,AT_043,-6623646341987091197,Astral Communion,DRUID,5,Gain 10 Mana Crystals. Discard your hand.
109,AT_044,-2516505438941520816,Mulch,DRUID,5,"Destroy a minion.
Add a random minion to your opponent's hand."
110,AT_045,4873812184593663835,Aviana,DRUID,4,Your minions cost (1).
111,AT_045e,6647565397058512045,Empowering Mist,NEUTRAL,6,+1/+1.
112,AT_045ee,5136456743623576066,Mistcaller Deck Ench,NEUTRAL,6,
113,AT_045eee,-8380253083502932202,Aviana's Blessing,NEUTRAL,6,Costs (1).
114,AT_046,478964559365896333,Tuskarr Totemic,SHAMAN,4,<b>Battlecry:</b> Summon a random basic Totem.
115,AT_047,396301377278167616,Draenei Totemcarver,SHAMAN,4,<b>Battlecry:</b> Gain +1/+1 for each friendly Totem.
116,AT_047e,4873511760272237363,Experienced,SHAMAN,6,Increased stats.
117,AT_048,5166187904325125958,Healing Wave,SHAMAN,5,"Restore #7 Health. Reveal a minion in each deck. If yours costs more, Restore #14 instead."
118,AT_049,3487563930880873981,Thunder Bluff Valiant,SHAMAN,4,<b>Inspire:</b> Give your Totems +2 Attack.
119,AT_049e,1366047102227600686,Power of the Bluff,SHAMAN,6,Increased Attack.
120,AT_050,-1658693357701205924,Charged Hammer,SHAMAN,7,<b>Deathrattle:</b> Your Hero Power becomes 'Deal 2 damage.'
121,AT_050t,-6743970836039017737,Lightning Jolt,SHAMAN,10,"<b>Hero Power</b>
Deal $2 damage."
122,AT_051,-6625444291660417205,Elemental Destruction,SHAMAN,5,Deal $4-$5 damage to all minions. <b>Overload:</b> (5)
123,AT_052,-488960458606690062,Totem Golem,SHAMAN,4,<b>Overload:</b> (1)
124,AT_053,3298545408504507020,Ancestral Knowledge,SHAMAN,5,Draw 2 cards. <b>Overload:</b> (2)
125,AT_054,-4978897755358183696,The Mistcaller,SHAMAN,4,<b>Battlecry:</b> Give all minions in your hand and deck +1/+1.
126,AT_055,5706228569479122600,Flash Heal,PRIEST,5,Restore #5 Health.
127,AT_056,-4608499384944000410,Powershot,HUNTER,5,Deal $2 damage to a minion and the minions next to it.
128,AT_057,-5821308538187925588,Stablemaster,HUNTER,4,<b>Battlecry:</b> Give a friendly Beast <b>Immune</b> this turn.
129,AT_057o,-9074424944707491816,Groomed,HUNTER,6,<b>Immune</b> this turn.
130,AT_058,7385354888843758955,King's Elekk,HUNTER,4,"<b>Battlecry:</b> Reveal a minion in each deck. If yours costs more, draw it."
131,AT_059,6008270949874220214,Brave Archer,HUNTER,4,"<b>Inspire:</b> If your hand is empty, deal 2 damage to the enemy hero."
132,AT_060,5637681602487850173,Bear Trap,HUNTER,5,"<b>Secret:</b> After your hero is attacked, summon a 3/3 Bear with <b>Taunt</b>."
133,AT_061,-1246976576713887762,Lock and Load,HUNTER,5,"Each time you cast a spell this turn, add a random Hunter card to your hand."
134,AT_061e,-3962740316313023084,Lock and Load,HUNTER,6,
135,AT_062,5038507190257055602,Ball of Spiders,HUNTER,5,Summon three 1/1 Webspinners.
136,AT_063,1580829850058277187,Acidmaw,HUNTER,4,"Whenever another minion takes damage, destroy it."
137,AT_063t,-1415487192997426788,Dreadscale,HUNTER,4,"At the end of your turn, deal 1 damage to all other minions."
138,AT_064,-2209755775943651217,Bash,WARRIOR,5,"Deal $3 damage.
Gain 3 Armor."
139,AT_065,-8591275751102661120,King's Defender,WARRIOR,7,"<b>Battlecry:</b> If you have a minion with <b>Taunt</b>, gain +1 Durability."
140,AT_065e,6648492733071520238,King's Defender,NEUTRAL,6,+1 Durability.
141,AT_066,-2877086668761386571,Orgrimmar Aspirant,WARRIOR,4,<b>Inspire:</b> Give your weapon +1 Attack.
142,AT_066e,-2531288495531902010,Forges of Orgrimmar,WARRIOR,6,Increased Attack.
143,AT_067,6118378660734182422,Magnataur Alpha,WARRIOR,4,"Also damages the minions next to whomever
he attacks."
144,AT_068,-7344820436418990854,Bolster,WARRIOR,5,Give your <b>Taunt</b> minions +2/+2.
145,AT_068e,-6605091427906466810,Bolstered,WARRIOR,6,+2/+2.
146,AT_069,-1275612442100726990,Sparring Partner,WARRIOR,4,"<b>Taunt</b>
<b>Battlecry:</b> Give a
minion <b>Taunt</b>."
147,AT_069e,-3518096478368588603,Training Complete,WARRIOR,6,<b>Taunt</b>
148,AT_070,-5334350550028887820,Skycap'n Kragg,NEUTRAL,4,"<b>Charrrrrge</b>
Costs (1) less for each friendly Pirate."
149,AT_071,1748151295486140813,Alexstrasza's Champion,WARRIOR,4,"<b>Battlecry:</b> If you're holding a Dragon, gain +1 Attack and <b>Charge</b>."
150,AT_071e,2746633379821125646,Alexstrasza's Boon,WARRIOR,6,+1 Attack and <b>Charge</b>.
151,AT_072,6514202457013978058,Varian Wrynn,WARRIOR,4,"<b>Battlecry:</b> Draw 3 cards.
Put any minions you drew directly into the battlefield."
152,AT_073,-1731944158498541327,Competitive Spirit,PALADIN,5,"<b>Secret:</b> When your turn starts, give your minions +1/+1."
153,AT_073e,2448733142662516378,Competitive Spirit,NEUTRAL,6,+1/+1.
154,AT_074,4741721012473956159,Seal of Champions,PALADIN,5,"Give a minion
+3 Attack and <b>Divine Shield</b>."
155,AT_074e2,-5420410244293183611,Seal of Champions,PALADIN,6,+3 Attack and <b>Divine Shield</b>.
156,AT_075,5825309311124119577,Warhorse Trainer,PALADIN,4,Your Silver Hand Recruits have +1 Attack.
157,AT_075e,-8124239170820522154,Might of the Hostler,PALADIN,6,Warhorse Trainer is granting this minion +1 Attack.
158,AT_076,-2550368162701854617,Murloc Knight,PALADIN,4,<b>Inspire:</b> Summon a random Murloc.
159,AT_077,-7584440844277441080,Argent Lance,PALADIN,7,"<b>Battlecry:</b> Reveal a minion in each deck. If yours costs more, +1 Durability."
160,AT_077e,-4522534238766020332,Extra Poke,NEUTRAL,6,+1 Durability.
161,AT_078,2073859765850281090,Enter the Coliseum,PALADIN,5,Destroy all minions except each player's highest Attack minion.
162,AT_079,-9053427827351602498,Mysterious Challenger,PALADIN,4,<b>Battlecry:</b> Put one of each <b>Secret</b> from your deck into the battlefield.
163,AT_080,182646668133217537,Garrison Commander,NEUTRAL,4,You can use your Hero Power twice a turn.
164,AT_081,-7918931970947019384,Eadric the Pure,PALADIN,4,"<b>Battlecry:</b> Change all enemy minions'
Attack to 1."
165,AT_081e,-1288989253686665830,Purified,PALADIN,6,Attack changed to 1.
166,AT_082,6321195753240663666,Lowly Squire,NEUTRAL,4,<b>Inspire:</b> Gain +1 Attack.
167,AT_082e,-2522731661067208056,Training,NEUTRAL,6,Increased Attack.
168,AT_083,-1164119474936566728,Dragonhawk Rider,NEUTRAL,4,"<b>Inspire:</b> Gain <b>Windfury</b>
this turn."
169,AT_083e,3562787462844149955,Dragonhawkery,NEUTRAL,6,<b>Windfury</b> this turn.
170,AT_084,-4997864106145360973,Lance Carrier,NEUTRAL,4,<b>Battlecry:</b> Give a friendly minion +2 Attack.
171,AT_084e,6576513450258102373,Equipped,NEUTRAL,6,+2 Attack.
172,AT_085,2688496531418636620,Maiden of the Lake,NEUTRAL,4,Your Hero Power costs (1).
173,AT_085e,-6308080671570761080,Maiden's Blessing,NEUTRAL,6,Costs (1).
174,AT_086,-2702429340329276962,Saboteur,NEUTRAL,4,<b>Battlecry:</b> Your opponent's Hero Power costs (5) more next turn.
175,AT_086e,6972396908707904443,Villainy,NEUTRAL,6,Your Hero Power costs (5) more this turn.
176,AT_087,3139134146720262115,Argent Horserider,NEUTRAL,4,"<b>Charge</b>
<b>Divine Shield</b>"
177,AT_088,489349300914992384,Mogor's Champion,NEUTRAL,4,50% chance to attack the wrong enemy.
178,AT_089,-8437943981391553616,Boneguard Lieutenant,NEUTRAL,4,<b>Inspire:</b> Gain +1 Health.
179,AT_089e,2852916022817997210,Boneguarded,NEUTRAL,6,Increased Health.
180,AT_090,-7074492921705096124,Mukla's Champion,NEUTRAL,4,<b>Inspire:</b> Give your other minions +1/+1.
181,AT_090e,-2548168992726718682,Might of the Monkey,NEUTRAL,6,+1/+1.
182,AT_091,-4050943937967077038,Tournament Medic,NEUTRAL,4,<b>Inspire:</b> Restore #2 Health to your hero.
183,AT_092,1821027974482873002,Ice Rager,NEUTRAL,4,
184,AT_093,-8816931306440393984,Frigid Snobold,NEUTRAL,4,<b>Spell Damage +1</b>
185,AT_094,5843387546843089423,Flame Juggler,NEUTRAL,4,<b>Battlecry:</b> Deal 1 damage to a random enemy.
186,AT_095,1310327972892237498,Silent Knight,NEUTRAL,4,"<b>Stealth</b>
<b>Divine Shield</b>"
187,AT_096,-8510552103413165609,Clockwork Knight,NEUTRAL,4,<b>Battlecry:</b> Give a friendly Mech +1/+1.
188,AT_096e,936963625627427798,Wound Up,NEUTRAL,6,+1/+1.
189,AT_097,-4312156583738077720,Tournament Attendee,NEUTRAL,4,<b>Taunt</b>
190,AT_098,138928335830135684,Sideshow Spelleater,NEUTRAL,4,<b>Battlecry:</b> Copy your opponent's Hero Power.
191,AT_099,717095366968916309,Kodorider,NEUTRAL,4,<b>Inspire:</b> Summon a 3/5 War Kodo.
192,AT_099t,-817656848124329882,War Kodo,NEUTRAL,4,
193,AT_100,357918314724539854,Silver Hand Regent,NEUTRAL,4,<b>Inspire:</b> Summon a 1/1 Silver Hand Recruit.
194,AT_101,-2575350206478961234,Pit Fighter,NEUTRAL,4,
195,AT_102,2826757867868158908,Captured Jormungar,NEUTRAL,4,
196,AT_103,2515049799429541059,North Sea Kraken,NEUTRAL,4,<b>Battlecry:</b> Deal 4 damage.
197,AT_104,8225752087984770910,Tuskarr Jouster,PALADIN,4,"<b>Battlecry:</b> Reveal a minion in each deck. If yours costs more, restore #7 Health to your hero."
198,AT_105,-5767851127053542266,Injured Kvaldir,NEUTRAL,4,<b>Battlecry:</b> Deal 3 damage to this minion.
199,AT_106,-2919388189795190564,Light's Champion,NEUTRAL,4,<b>Battlecry:</b> <b>Silence</b> a Demon.
200,AT_108,-6589636246934694434,Armored Warhorse,NEUTRAL,4,"<b>Battlecry:</b> Reveal a minion in each deck. If yours costs more, gain <b>Charge</b>."
201,AT_109,666064150128499088,Argent Watchman,NEUTRAL,4,"Can't attack.
<b>Inspire:</b> Can attack as normal this turn."
202,AT_109e,-7797200003376126937,Inspired,NEUTRAL,6,Can attack this turn.
203,AT_110,7015504298608391127,Coliseum Manager,NEUTRAL,4,<b>Inspire:</b> Return this minion to your hand.
204,AT_111,-2381929803042015473,Refreshment Vendor,NEUTRAL,4,<b>Battlecry:</b> Restore #4 Health to each hero.
205,AT_112,-3107320374901044889,Master Jouster,NEUTRAL,4,"<b>Battlecry:</b> Reveal a minion in each deck. If yours costs more, gain <b>Taunt</b> and <b>Divine Shield</b>."
206,AT_113,4594954497213254585,Recruiter,NEUTRAL,4,<b>Inspire:</b> Add a 2/2 Squire to your hand.
207,AT_114,-2276009634597449566,Evil Heckler,NEUTRAL,4,<b>Taunt</b>
208,AT_115,910089057428850944,Fencing Coach,NEUTRAL,4,"<b>Battlecry:</b> The next time you use your Hero Power, it costs (2) less."
209,AT_115e,-580571517052234126,Fencing Practice,NEUTRAL,6,Your Hero Power costs (2) less.
210,AT_116,-3476255450945874207,Wyrmrest Agent,PRIEST,4,"<b>Battlecry:</b> If you're holding a Dragon, gain +1 Attack and <b>Taunt</b>."
211,AT_116e,-4070386369161307407,Bring it on!,PRIEST,6,+1 Attack and <b>Taunt</b>.
212,AT_117,-5266485019245210018,Master of Ceremonies,NEUTRAL,4,"<b>Battlecry:</b> If you have a minion with <b>Spell Damage</b>, gain +2/+2."
213,AT_117e,8399064517240348598,Ceremony,NEUTRAL,6,+2/+2.
214,AT_118,3732700330719809140,Grand Crusader,NEUTRAL,4,<b>Battlecry:</b> Add a random Paladin card to your hand.
215,AT_119,1792151396224619061,Kvaldir Raider,NEUTRAL,4,<b>Inspire:</b> Gain +2/+2.
216,AT_119e,-497015938863717633,Inspired,NEUTRAL,6,Increased stats.
217,AT_120,-5643094997220442947,Frost Giant,NEUTRAL,4,Costs (1) less for each time you used your Hero Power this game.
218,AT_121,-4709650607945934612,Crowd Favorite,NEUTRAL,4,"Whenever you play a card with <b>Battlecry</b>, gain +1/+1."
219,AT_121e,8751517051720784678,Huge Ego,NEUTRAL,6,Increased stats.
220,AT_122,-6850802521845086907,Gormok the Impaler,NEUTRAL,4,"<b>Battlecry:</b> If you have at least 4 other minions, deal 4 damage."
221,AT_123,7226087740473429256,Chillmaw,NEUTRAL,4,"[x]<b>Taunt</b>
<b>Deathrattle:</b> If you're holding
a Dragon, deal 3 damage
to all minions."
222,AT_124,2422116474540563517,Bolf Ramshield,NEUTRAL,4,"Whenever your hero takes damage, this minion takes it instead."
223,AT_125,-6381431341910594435,Icehowl,NEUTRAL,4,"<b>Charge</b>
Can't attack heroes."
224,AT_127,6434374409814053895,Nexus-Champion Saraad,NEUTRAL,4,<b>Inspire:</b> Add a random spell to your hand.
225,AT_128,273139524362248751,The Skeleton Knight,NEUTRAL,4,"<b>Deathrattle:</b> Reveal a minion in each deck. If yours costs more, return this to your hand."
226,AT_129,2415757543476156300,Fjola Lightbane,NEUTRAL,4,"Whenever <b>you</b> target this minion with a spell, gain <b><b>Divine Shield</b>.</b>"
227,AT_130,-7781130824019068701,Sea Reaver,WARRIOR,4,"When you draw this, deal 1 damage to your minions."
228,AT_131,-1133807289930985314,Eydis Darkbane,NEUTRAL,4,"Whenever <b>you</b> target this minion with a spell, deal 3 damage to a random enemy."
229,AT_132,6722639173510334288,Justicar Trueheart,NEUTRAL,4,<b>Battlecry:</b> Replace your starting Hero Power with a better one.
230,AT_132_DRUID,4108194135649973698,Dire Shapeshift,DRUID,10,"<b>Hero Power</b>
+2 Attack this turn.
+2 Armor."
231,AT_132_DRUIDa,-8515356986647328781,Dire Shapeshift,DRUID,10,"<b>Hero Power</b>
+2 Attack this turn.
+2 Armor."
232,AT_132_DRUIDb,-98766761974468717,Dire Shapeshift,DRUID,10,"<b>Hero Power</b>
+2 Attack this turn.
+2 Armor."
233,AT_132_DRUIDc,-9002745876369701877,Dire Shapeshift,DRUID,10,"<b>Hero Power</b>
+2 Attack this turn.
+2 Armor."
234,AT_132_DRUIDe,1409586960941215894,Dire Claws,DRUID,6,+2 Attack this turn.
235,AT_132_HUNTER,7514637910943675618,Ballista Shot,HUNTER,10,"<b>Hero Power</b>
Deal $3 damage to the enemy hero.@<b>Hero Power</b>
Deal $3 damage."
236,AT_132_HUNTER_H1,-26788799204611574,Ballista Shot,HUNTER,10,"<b>Hero Power</b>
Deal $3 damage to the enemy hero.@<b>Hero Power</b>
Deal $3 damage."
237,AT_132_MAGE,-4694817877058156322,Fireblast Rank 2,MAGE,10,"<b>Hero Power</b>
Deal $2 damage."
238,AT_132_PALADIN,1128689299060842386,The Silver Hand,PALADIN,10,"<b>Hero Power</b>
Summon two 1/1 Recruits."
239,AT_132_PRIEST,-6367808465418911450,Heal,PRIEST,10,"<b>Hero Power</b>
Restore #4 Health."
240,AT_132_ROGUE,8586986681809339573,Poisoned Daggers,ROGUE,10,"<b>Hero Power</b>
Equip a 2/2 Weapon."
241,AT_132_ROGUE_H1,-327355103604521210,Poisoned Daggers,ROGUE,10,"<b>Hero Power</b>
Equip a 2/2 Weapon."
242,AT_132_ROGUEt,-7600949668870282186,Poisoned Dagger,ROGUE,7,
243,AT_132_ROGUEt_H1,-8902640257040466856,Poisoned Dagger,ROGUE,7,
244,AT_132_SHAMAN,426084275784351812,Totemic Slam,SHAMAN,10,"<b>Hero Power</b>
Summon a Totem of your choice."
245,AT_132_SHAMANa,-4024156272951127659,Healing Totem,SHAMAN,4,"At the end of your turn, restore #1 Health to all friendly minions."
246,AT_132_SHAMANb,8889351722571075458,Searing Totem,SHAMAN,4,
247,AT_132_SHAMANc,1717362237279056157,Stoneclaw Totem,SHAMAN,4,<b>Taunt</b>
248,AT_132_SHAMANd,-8181759097426154303,Wrath of Air Totem,SHAMAN,4,<b>Spell Damage +1</b>
249,AT_132_WARLOCK,-4062866179842315113,Soul Tap,WARLOCK,10,"<b>Hero Power</b>
Draw a card."
250,AT_132_WARLOCKa,1924737603408900604,Soul Tap,WARLOCK,10,"<b>Hero Power</b>
Draw a card."
251,AT_132_WARLOCKb,5495191799679282512,Soul Tap,WARLOCK,10,"<b>Hero Power</b>
Draw a card."
252,AT_132_WARRIOR,-1499306679815541383,Tank Up!,WARRIOR,10,"<b>Hero Power</b>
Gain 4 Armor."
253,AT_133,1440138391855293616,Gadgetzan Jouster,NEUTRAL,4,"<b>Battlecry:</b> Reveal a minion in each deck. If yours costs more, gain +1/+1."
254,AT_133e,1836248269061027810,Victory!,NEUTRAL,6,+1/+1.
255,BCON_001,-1180353245636262612,Deadeye,HUNTER,5,"For the rest of the game,
your Hero Power can target minions."
256,BCON_001e,-2597332180025573751,Deadeye,NEUTRAL,6,Your Hero Power can target minions.
257,BCON_004,-6280158332085470021,Polymorph: ???,MAGE,5,Choose a minion. <b>Discover</b> a new minion to transform it into.
258,BCON_008,5524841997052121746,Nature's Champion,DRUID,5,Return a friendly minion to your hand and give it +5/+5.
259,BCON_008e,-6796489975970884671,Nature's Champion,NEUTRAL,6,+5/+5.
260,BCON_012,236130604332474720,Hand of Salvation,PALADIN,5,"<b>Secret:</b> When your second minion dies in a turn, return it to life."
